trial_1,trial_2,trial_3,trial_4,trial_5,trial_6,trial_7,trial_8,trial_9,trial_10,trial_11,trial_12,trial_13,trial_14,trial_15,trial_16,trial_17,trial_18,trial_19,trial_20,trial_21,trial_22,trial_23,trial_24,trial_25,trial_26,trial_27,trial_28,trial_29,trial_30
6974999920.125002,7154999919.225002,8164999914.175002,9593333254.811111,7439999917.800002,9123333257.161112,7539999917.300002,8249655110.8325815,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,8643235236.54161,8229999913.850003,8574999912.125003,8078333262.386113,8298333261.286112,8958333257.986113,7895740677.5309,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,7963333262.961113,7117820466.646269
6974999920.125002,7019999919.9000025,7954999915.225002,9593333254.811111,7384999918.075003,9123333257.161112,7539999917.300002,8249655110.8325815,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,8298333261.286112,8958333257.986113,7895740677.5309,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7954999915.225002,9593333254.811111,7384999918.075003,8798333258.786114,7539999917.300002,8249655110.8325815,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,8298333261.286112,8958333257.986113,7895740677.5309,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7954999915.225002,9593333254.811111,7384999918.075003,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,8298333261.286112,8958333257.986113,7895740677.5309,7574999917.125003,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7899565144.434122,9593333254.811111,7384999918.075003,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7899565144.434122,9593333254.811111,7384999918.075003,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,9721428509.352043,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7899565144.434122,9593333254.811111,7384999918.075003,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,9149999909.250002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7899565144.434122,9593333254.811111,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,9149999909.250002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8574999912.125003,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7899565144.434122,9593333254.811111,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8804999910.975002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8294090830.843597,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8948333258.036114,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8804999910.975002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8294090830.843597,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8948333258.036114,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8058235239.46661,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8948333258.036114,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8058235239.46661,8078333262.386113,7973333262.911113,8958333257.986113,7895740677.5309,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8948333258.036114,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,8058235239.46661,8078333262.386113,7973333262.911113,8958333257.986113,7384285655.425511,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8764090828.493597,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6829999920.850002,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9559285644.550512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6744999921.2750025,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9429285645.200512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8749999928.250002,8708333259.236113,8963333257.961113,6744999921.2750025,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9429285645.200512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8146428517.227042,8708333259.236113,8963333257.961113,6744999921.2750025,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9429285645.200512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8146428517.227042,8708333259.236113,8963333257.961113,6744999921.2750025,7117820466.646269
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9429285645.200512,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8146428517.227042,8708333259.236113,8963333257.961113,6744999921.2750025,6607820469.19627
6974999920.125002,7019999919.9000025,7420161235.635927,8443333260.561113,6989999920.050002,8798333258.786114,7539999917.300002,7432820465.07127,7902820462.72127,7134655116.407581,8559999912.200002,7137820466.546269,9214655106.00758,7154999919.225002,7573235241.89161,7969999915.1500025,7573235241.89161,8078333262.386113,7973333262.911113,8958333257.986113,7134655116.407581,7489999917.550002,7870161233.385927,7663235241.44161,8499999912.500004,8146428517.227042,8708333259.236113,8963333257.961113,6744999921.2750025,6607820469.19627
